14206:5952	ArrowUpFilledIcon
14206:8480	EarthAmericasFilledIcon
14206:8484	EarthAsiaOutlinedIcon
14206:8487	EarthAsiaFilledIcon
14206:8491	GlobeOutlinedIcon
14206:8495	GlobeFilledIcon
14206:8498	SubtitlesOutlinedIcon
14206:8501	SubtitlesFilledIcon
14206:8505	SubtitlesOffOutlinedIcon
14206:8508	SubtitlesOffFilledIcon
14206:8512	ClosedCaptioningOutlinedIcon
14206:8515	ClosedCaptioningFilledIcon
14206:8519	ClosedCaptioningOffOutlinedIcon
14206:8522	ClosedCaptioningOffFilledIcon
14206:8527	DollarSignFilledIcon
14206:8530	DollarSignOutlinedIcon
14206:8534	CircleDollarOutlinedIcon
14206:8537	CircleDollarFilledIcon
14206:8541	SquareDollarOutlinedIcon
14206:8544	SquareDollarFilledIcon
14206:8548	ClockOutlinedIcon
14206:8551	ClockFilledIcon
14206:8555	EnvelopeOpenDollarOutlinedIcon
14206:8557	EnvelopeOpenDollarFilledIcon
14206:8561	CreditCardOutlinedIcon
14206:8565	CreditCardFilledIcon
14206:8569	MoneyBillOutlinedIcon
14206:8573	MoneyBillFilledIcon
14206:8577	CoinFilledIcon
14206:8580	CoinOutlinedIcon
14206:8584	CoinVerticalFilledIcon
14206:8587	CoinVerticalOutlinedIcon
14206:8591	GemOutlinedIcon
14206:8594	GemFilledIcon
14206:8598	MoonOultinedIcon
14206:8600	MoonFilledIcon
14206:8603	CalendarDaysOutlinedIcon
14206:8605	CalendarDaysFilledIcon
14206:8608	SunOulinedIcon
14206:8610	SunFilledIcon
14206:8614	CartShoppingOutlinedIcon
14206:8617	CartShoppingFilledIcon
14206:8621	BasketShoppingOutlinedIcon
14206:8624	BasketShoppingFilledIcon
14206:8628	BagsShoppingFilledIcon
14206:8631	BagsShoppingOutlinedIcon
14206:8635	TagOutlinedIcon
14206:8640	TagFilledIcon
14206:8644	WalletOutlinedIcon
14206:8647	WalletFilledIcon
14206:8652	SchoolFilledIcon
14206:8655	SchoolOutlinedIcon
14206:8659	GraduationCapFilledIcon
14206:8662	GraduationCapOutlinedIcon
14206:8666	UserGraduateFilledIcon
14206:8669	UserGraduateOutlinedIcon
14206:8673	PersonChalkboardFilledIcon
14206:8676	PersonChalkboardOutlinedIcon
14206:8680	BookOpenOutlinedIcon
14206:8683	BookOpenFilledIcon
14206:8687	BookOutlinedIcon
14206:8691	BookFilledIcon
14206:8695	CalculatorFilledIcon
14206:8698	CalculatorOutlinedIcon
14206:8702	CalculatorSimpleFilledIcon
14206:8705	CalculatorSimpleOutlinedIcon
14206:8710	CalendarOutlinedIcon
14206:8713	CalendarFilledIcon
14206:8716	CalendarDaysOutlinedIcon
14206:8720	CalendarDaysFilledIcon
14206:8723	CalendarCheckOutlinedIcon
14206:8726	CalendarCheckFilledIcon
14206:8729	CalendarStarOutlinedIcon
14206:8732	CalendarStarFilledIcon
14206:8736	ClockOutlinedIcon
14206:8739	ClockFilledIcon
14206:8743	ClockRotateLeftFilledIcon
14206:8746	ClockRotateLeftOutlinedIcon
14206:8750	AlarmClockOutlinedIcon
14206:8753	AlarmClockFilledIcon
14206:8757	GaugeSimpleHighOutlinedIcon
14206:8760	GaugeSimpleHighFilledIcon
14206:8764	GaugeHighOutlinedIcon
14206:8767	GaugeHighFilledIcon
14206:8771	RectangleAdFilledIcon
14206:8773	RectangleAdOutlinedIcon
14206:8776	SquareListOutlinedIcon
14206:8778	SquareListFilledIcon
14206:8781	FilmPlayOutlinedIcon
